fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,it,word_original
"['commerce', 'magasin', 'boutique']","['Einzelhandelsgeschäft', 'Geschäft', 'Laden']","['лавка', 'магазин', 'бути́к', 'магази́н', 'ла́вка']","['boutique', 'store', 'retail outlet', 'shop']","['商店', '鋪子', '店', '铺子', '店铺', '店鋪']","['tienda', 'comercio', 'negocio', 'establecimiento', 'almacén']","['商店', '店', '販売店', '売店', '店鋪', 'ストア', 'ショップ']","['가게', '판매점', '상점']","['pood', 'kauplus']","['myymälä', 'kauppa']","['winkel', 'magazijn', 'nering', 'shop', 'atelier', 'zaak', 'werkplaats']","['दुकान', 'दूकान']","['negozio', 'magazzino', 'esercizio', 'spaccio', 'bottega', 'fondo commerciale', 'locale']",shop
['division'],['Division'],['деление'],['division'],['除法'],['división'],"['除法', '割り算']",['나눗셈'],"['jagamine', 'Jagamine']","['jakolasku', 'Jakolasku', 'jako']","['deling', 'delen']","['भाग', 'विभाजन']",['divisione'],part
"['yeux', ""globe de l'oeil"", 'œil', 'globe oculaire']","['Augapfel', 'Auge', 'Augen']","['глаз', 'глазное яблоко', 'око']","['eye', 'eyes', 'eyeball', 'eye ball', 'optic', 'oculus']","['眼睛', '眼', '目', '睛球', '睛']","['ojos', 'ojo', 'globo ocular', 'oculus']","['目', '眼球', '眼']",['눈'],"['silm', 'silmamuna']","['silmämuna', 'silmä', 'näkö-', 'näkö']","['oogbol', 'ogen', 'oogappel', 'oog', 'kijker', 'kijkers']","['आँख', 'आंख']","['bulbo oculare', 'occhio', 'occhi']",eye
"['plaine', 'champ']",['Ebene'],"['равнина', 'равни́на']","['plain', 'champaign', 'field']","['平野', '平原']","['llanura', 'planicie', 'llano', 'campo', 'campaña', 'llanuras', 'planada', 'plana']","['平野', '平地']","['평야', '평지']",['tasandik'],"['tasanko', 'tasamaa', 'aukea', 'lakeus']","['vlakte', 'laagvlakte', 'vlak', 'veld']",['मैदान'],"['pianura', 'campo']",field
"['site Web', 'site Internet', 'site web', 'site', 'site internet']","['Internetauftritt', 'Internetpräsenz', 'Webangebot', 'Netzauftritt', 'Webauftritt', 'Webpräsenz', 'Website']","['веб-страни́ца', 'сайт', 'страни́ца интерне́та', 'веб-са́йт']","['Web site', 'website', 'internet site', 'web site', 'site']","['网站', '網站', '网络站点']","['sitio Web', 'web', 'sitio web', 'página web', 'website']","['ウェブサイト', 'サイト']","['웹사이트', '사이트']",['veebisait'],"['nettisivu', 'verkkosivusto', 'sivusto', 'www-sivu', 'nettisivut', 'internet-sivut']","['website', 'webstek', 'site']","['साइट', 'जालपृष्ठ', 'वेबसाइट', 'जालस्थल']","['sito web', 'sito']",site
"['danse', 'danser']","['Tanz', 'Tanzen']","['танец', 'пляс', 'та́нец', 'пля́ска']","['dance', 'dancing', 'saltation', 'terpsichore']","['舞蹈', '跳舞']","['danza', 'baile']","['ダンス', '踊り', '舞踊']","['춤', '댄스']",['tants'],"['tanssi', 'tanssiminen']","['dans', 'dansen']","['नृत्य', 'नाच']","['danza', 'ballo', 'ballare', 'danzare']",dance
['mot'],['Wort'],['слово'],['word'],"['詞', '词', '單詞', '单词', '字词']","['palabra', 'vocablo']","['言葉', '単語', '語']",['낱말'],['sõna'],['sana'],['woord'],"['शब्द', 'बात']","['parola', 'termine', 'suono', 'vocabolo']",word
"['paire', 'couple']","['Paar', 'geordnetes Paar']","['пара', 'па́ра', 'упорядоченная пара']","['pair', 'brace', 'ordered pair']","['雙', '一對', '有序对', '双', '對', '对', '一对']","['par', 'par ordenado']","['一組', '順序対', '対', 'ペア', '一対']","['켤레', '순서쌍', '한쌍', '페어']","['Järjestatud paar', 'järjestatud paar', 'paar']","['järjestetty pari', 'pari']","['koppel', 'tweetal', 'paar', 'duo']","['जोड़ा', 'क्रमित युग्म']","['coppia', 'coppia ordinata', 'paio']",pair
"['siège', 'place']","['Sitz', 'Sitzgelegenheit', 'Sitzplatz']","['сиде́нье', 'ме́сто']",['seat'],"['座位', '位子', '座席']","['asiento', 'escaño', 'seato']","['座位', '座席', '腰掛け', '席', 'シート']","['좌석', '자리', '시트']",['iste'],"['istuin', 'istumapaikka', 'paikka']","['zetel', 'stoel', 'leunstoel', 'fauteuil', 'zitje', 'zitplaats', 'zitmeubel', 'zitting']",['सीट'],"['sedile', 'seduta', 'scranno', 'posto']",seat
"['lumière', 'source lumineuse', 'lumière visible']","['Lichtquelle', 'Licht']","['свет', 'Свет', 'ви́димый свет']","['light', 'light source', 'visible light', 'visible radiation']","['可見光', '光', '可见光']","['fuente luminosa', 'luz', 'luz visible', 'radiación visible']","['光', '可視光', '可視光線']","['가시광선', '빛']",['valgus'],"['valo', 'näkyvä valo', 'näkyvä säteily']","['licht', 'lichtbron']","['रोशनी', 'प्रकाश']","['luce', 'sorgente luminosa', 'radiazione visibile', 'luce visibile']",light
"['mille', 'mil']","['Tausend', 'tausend']","['тысяча', 'ты́сяча']","['one thousand', 'K', 'G', 'chiliad', 'yard', 'M', 'grand', 'thou', 'thousand']",['千'],"['un mil', 'mil', 'chiliad', 'millar']",['千'],['천'],"['Tuhat', 'tuhat']","['tuhat', 'K', 'G', 'M', 'jaardi', 'tuhat dollaria', 'yksi tuhat', 'tuhatluku']","['duizend', 'Chiliad', 'duizendvoud', 'chiliade', 'mille', 'duizendtal', 'gij']","['हज़ार', 'सहस्र', 'सहास']","['mille', 'migliaio', 'M']",thousand
['nord'],['Norden'],"['север', 'Север']","['northward', 'N', 'north', 'due north']","['北', '北方']",['norte'],['北'],['북쪽'],['põhi'],"['pohjoinen', 'suoraan pohjoiseen', 'N']","['noord', 'noorden']","['उत्तर', 'उत्तर दिशा']","['nord', 'settentrione', 'mezzanotte', 'tramontana']",north
"['machine', 'dispositif', 'appareil', 'système', 'mécanisme', 'machinerie', 'parc de machines', 'machines', 'Machinery']","['Maschine', 'Einrichtung', 'Einheit', 'Baustein', 'Instrument', 'Hilfsmittel', 'Vorrichtung', 'Apparat', 'Gerät', 'Maschinenanlage', 'Maschinerie', 'Machinery', 'maschinelle Ausrüstung', 'mechanisches Gerät']","['прибо́р', 'дева́йс', 'приспособле́ние', 'аппара́т', 'механи́зм', 'устро́йство', 'га́джет', 'машины и оборудование', 'обору́дование', 'маши́ны', 'машина']","['machine', 'device', 'machinery', 'mechanism', 'Machinery', 'mechanical device']","['裝置', '装置', '发明物', '机器', '机械', '机械装置']","['máquina', 'aparato', 'dispositivo', 'mecanismo', 'aparejo', 'maquinaria', 'Machinery', 'máquinas']","['デバイス', '装置', '機械']","['장치', '디바이스']","['seade', 'aparaat', 'masinad', 'mehhanismid']","['kone', 'laite', 'koneisto', 'koneet']","['machine', 'toestel', 'apparaat', 'mechanisme', 'machinery', 'machinepark', 'mechanisch apparaat', 'machinerie']","['मशीन', 'गैजेट', 'यंत्र', 'युक्ति', 'मशीनरी']","['macchina', 'apparecchio', 'periferica', 'dispositivo', 'congegno', 'arnese', 'macchinario', 'Machinery', 'apparato']",machine
['temps'],['Zeit'],['время'],['time'],"['時間', '时间']",['tiempo'],['時間'],['시간'],['aeg'],['aika'],['tijd'],"['समय', 'काल']","['tempo', 'data']",time
